Summary,Custom field (Requirement ID),Description,Custom field (Requirement Rationale)
HS7100,HS7100,"HS shall generate a housekeeping message containing the following:
a)       Valid Ground Command Counter
b)       Ground Command Rejected Counter
c)       Critical Application Monitoring status  (enable/disable)
d)       Critical Application Monitoring status per table entry (enable/disable)
e)       Number of CFE Processor resets (commanded by HS)
f)        Maximum number of CFE Processor resets
g)       Critical Event Monitoring status (enabled/disabled)
h)       Count of Monitored Event Messages
i)        CPU Aliveness Indicator (enabled/disabled)
j)        Execution Counter, for each table entry
k)       Number of Invalid/Unknown Apps contained in Critical Event Table.
l)        Peak CPU Utilization
m)      Average CPU utilization
n)       CPU Utilization Monitoring Enabled/Disabled",Housekeeping telemetry to indicate basic HS status.
HS8000,HS8000,"Upon cFE Power On Reset,  HS shall initialize the following data to Zero (or the value specified for the item below) :
a)       Valid Ground Command Counter
b)       Ground Command Rejected Counter
c)       Monitor Critical Applications to <PLATFORM_DEFINED>
d)       Critical Application Monitoring status per Application Enabled
e)       Monitor Critical Events to <PLATFORM_DEFINED>
f)        CPU Aliveness Indicator to <PLATFORM_DEFINED>
g)       Watchdog Timer Flag set to TRUE
h)       Set the Watchdog Timer to <PLATFORM_DEFINED> value
i)        Maximum number of CFE Processor resets to <PLATFORM_DEFINED> value
j)        Number of cFE Processor Resets (commanded by HS)
k)       Number of Invalid/Unknown Apps contained in Critical Event Table
l)        Peak CPU Utilization
m)      Average CPU utilization
n)       CPU Utilization Monitoring Enabled/Disabled to <PLATFORM_DEFINED",Reset behavior for states and data.
HS8001,HS8001,"Upon cFE Processor Reset or HS Application Restart,  HS preserves the following:
a)       Number of cFE Processor Resets (commanded by HS)
b)       Maximum number of cFE Processor Resets.",Need to preserve the cFE Processor reset default and current number across a reset.
HS8002,HS8002,"Upon any Initialization, HS shall subscribe to all event messages",HS needs to subscribe to all event messages in support of Critical Event Processing.
HS8003,HS8003,"Upon any Initialization, HS shall load the Critical Application Table.",Need default values.
HS8003.1,HS8003.1,"If the Critical Application Table fails validation, HS shall issue an event message and disable Critical Application Monitoring.","Can verify gross errors in table. If errors exist, HS can still perform other monitoring (just not critical application monitoring)."
HS8004,HS8004,"Upon any Initialization, HS shall load the Critical Event Table.",Need default values.
HS8004.1,HS8004.1,"If the Critical Event Table fails validation, HS shall issue an event message and disable Critical Event Monitoring.","Can verify gross errors in table. If errors exist, HS can still perform other monitoring (just not critical event monitoring)."
HS8005,HS8005,"Upon any Initialization, HS shall load the Execution Counter Table.",Need default values.
HS8005.1,HS8005.1,"If the Execution Counter Table fails validation, HS shall:
a)       Issue an event message
b)       Report 0xFFFFFFFF for all <PLATFORM_DEFINED> items in the table","If the file does not exist to populate the Execution Counter Table (or fails validation), HS should continue to execute other functions and report an identifiable number (i.e. x’ffffffff’) for entries using the configuration parameter."
HS8006,HS8006,"Upon any initialization, HS shall wait until the cFE startup synch has been received indicating all Applications have started.",The cFE provides indication that all applications that it was told to start have started. Having HS wait on that signal avoids HS reporting things like critical app check-in failure when in reality the app just has not been started yet.
HS8006.1,HS8006.1,"If the startup-synch is not received in <PLATFORM_DEFINED> seconds, HS shall begin processing.","If HS doesn’t get the startup synch within some timeout value, HS should start executing."
HS8007,HS8007,"Upon any Initialization, HS shall load the Message Actions Table. ",Provides default values
HS8007.1,HS8007.1,"If the Message Actions Table fails validation, HS shall issue an event message and disable the use of the Message Actions Table. ","Can verify gross errors in table. If errors exist, HS can still perform other monitoring (just cannot use message actions). "
